Década;Bartels 1988;Munuera 1992; Vargo y Lusch  2004;Kumar 2015;El Ansary et al 2017
Hasta 1900;1. Antecedentes;1. Identificación;1. Teoría económica ;;
1900-10;2. Descubrimiento;1. Identificación;1. Teoría económica ;;
1910-20;3. Conceptual;1. Identificación;1. Teoría económica ;;1. Paradigma tradicional
1920-30;4. Integración;2. Funcionalismo;2. Formación del marketing;;1. Paradigma tradicional
1930-40;5. Desarrollo;2. Funcionalismo;2. Formación del marketing;1. Economía aplicada;1. Paradigma tradicional
1940-50;6. Nueva Estimación;2. Funcionalismo;2. Formación del marketing;2. Actividad directiva;1. Paradigma tradicional
1950-60;7. Reformulación;3. PreConceptual;3. Marketing Management;3. Ciencia cuantitativa;2. Paradigma macro a micro
1960-70;8. Diferenciación;4. Definiciones formales;3. Marketing Management;4. Ciencia conductual;3. Expansión del paradigma
1970-80;9. Socialización;4. Definiciones formales;3. Marketing Management;5. Ciencia de la toma de decisiones;3. Expansión del paradigma
1980-90;10. Concepto actual;4. Definiciones formales;4. Proceso social y económico;6. Ciencia integrada;3. Expansión del paradigma
1990-00;;;;7. Recurso escaso;3. Expansión del paradigma
2000-10;;;;8. Inversión;3. Expansión del paradigma
2010-;;;;9. Parte central de la organización;3. Expansión del paradigma
