CentroTitul,Plazas,Matriculadas,Porcentaje
FCS,160,158,98.8
Enfermería,100,99,99
Fisioterapia,60,59,98.3
FHHSS,450,444,98.7
Maestro en Educación Infantil,110,109,99.1
Maestro en Educación Primaria,180,179,99.4
Sociología Aplicada,50,48,96
Trabajo Social,110,108,98.2
FCCEE,285,285,100
Administración y Dirección de Empresas,195,195,100
Economía,65,65,100
Doble Grado Internacional en Administración y Dirección de Empresas y en Economía,25,25,100
ETSIA,135,96,71.1
Ingeniería Agroalimentaria y del Medio Rural,85,47,55.3
Innovación de Procesos y Productos Alimentarios,15,15,100
Doble Grado en Ingeniería Agroalimentaria del Medio Rural y en Innovación de Procesos y Productos Alimentarios,35,34,97.1
ETSIIT,500,476,95.2
Ingeniería en Diseño Mecánico,50,31,62
Ingeniería en Tecnologías de Telecomunicación,60,59,98.3
Ingeniería en Tecnologías Industriales,150,148,98.7
Ingeniería Informática,90,89,98.9
Ingeniería Eléctrica y Electrónica,60,59,98.3
Ingeniería Mecánica,90,90,100
FCJ,150,149,99.3
Derecho,90,90,100
Relaciones Laborales y Recursos Humanos,60,59,98.3
FCJ/FCCEE,40,40,100
Doble Grado en Administración y Dirección de Empresas y en Derecho,40,40,100
TOTAL,1720,1648,95.8
