Centro Titula,Est1516,Est1617A
FCS,109,91
M.U. en Gestión de Cuidados de Enfermería,31,20
M.U. en Investigación en Ciencias de la Salud,42,39
M.U. en Salud Pública,22,23
M.U. en Promoción de Salud y Desarrollo Social (*),14,9
FHHSS,148,125
M.U. en Formación del Profesorado de Educación Secundaria,95,100
M.U. en Dinámicas de Cambio en las Sociedades Modernas Avanzadas,11,1
M.U. en Desarrollo de las Capacidades Musicales,2,1
"M.U. en Estudios Avanzados en Historia, Espacio y Patrimonio",10,3
"M.U. en Intervención Social con Individuos, Familias y Grupos",30,20
FCCEE,44,53
M.U. en Análisis Económico y Financiero,7,4
M.U. en Dirección de Empresas,23,20
M.U. en Gestión por Procesos con Sistemas Integrados de Información,14,29
ETSIA,73,67
M.U. en Tecnología y Calidad en las Industrias Agroalimentarias,13,10
M.U. en Agrobiología Ambiental (*),5,6
M.U. en Química Sintética e Industrial (*),2,1
M.U. en Ingeniería Agronómica,30,33
M.U. en Sistemas de Información Geográfica y Teledetección ,23,17
ETSIIT,297,283
M.U. en Comunicaciones,3,1
M.U. en Dirección de Proyectos (*),12,10
M.U. en Energías Renovables: Generación Eléctrica ,30,23
M.U. en Ingeniería Biomédica,26,22
M.U. en Ingeniería de Materiales y Fabricación,40,35
M.U. en Ingeniería Mecánica Aplicada y Computacional,23,10
"M.U. en Modelización e Investigación Matemática, Estadística y Computación (*)",1,3
M.U. en Ingeniería Industrial,125,137
M.U. en Ingeniería Informática,15,15
M.U. en Ingeniería de Telecomunicación,22,27
FCJ,123,101
M.U. en Prevención de Riesgos Laborales,27,5
M.U. en Acceso a la Abogacía,96,96
TOTAL,794,720
