"","Author Keywords (DE)     ","Articles","Keywords-Plus (ID)    ","Articles"
"1","sustainability         ","111","consumption       ","115"
"2","sustainable consumption"," 24","sustainability    "," 92"
"3","life cycle assessment  "," 19","products          "," 63"
"4","environment            "," 17","behavior          "," 49"
"5","food                   "," 16","food              "," 46"
"6","consumer behaviour     "," 15","information       "," 45"
"7","consumption            "," 15","willingness-to-pay"," 44"
"8","carbon footprint       "," 14","preferences       "," 41"
"9","certification          "," 14","quality           "," 41"
"10","consumer behavior      "," 14","attitudes         "," 38"
